timestamp,type,source_ip,source_port,destination_ip,destination_port,protocol,packet_size
1669868548.243634,IP,172.16.42.1,1471,172.16.42.226,36136,6,390
1669868548.246507,IP,172.16.42.226,36136,172.16.42.1,1471,6,0
1669868548.247027,IP,172.16.42.226,56940,172.16.42.1,1471,6,1088
1669868548.260647,IP,172.16.42.226,45480,35.244.218.227,443,6,0
1669868548.270549,IP,35.244.218.227,443,172.16.42.226,45480,6,0
1669868548.29428,IP,172.16.42.1,1471,172.16.42.226,56940,6,0
1669868548.316658,IP,172.16.42.1,1471,172.16.42.226,56940,6,390
1669868548.365131,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868548.395667,IP,172.16.42.226,51487,3.134.129.152,123,17,228
1669868548.460479,IP,3.134.129.152,123,172.16.42.226,51487,17,228
1669868548.510263,IP,172.16.42.1,1471,172.16.42.226,59076,6,0
1669868548.511336,IP,172.16.42.226,59076,172.16.42.1,1471,6,0
1669868548.793785,IP,162.159.134.234,443,172.16.42.226,60486,6,302
1669868549.032768,IP,172.16.42.226,50506,18.164.153.101,443,6,0
1669868549.034305,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868549.040855,IP,18.164.153.101,443,172.16.42.226,50506,6,0
1669868549.407825,IP,172.16.42.226,56940,172.16.42.1,1471,6,1270
1669868549.408062,IP,172.16.42.1,1471,172.16.42.226,56940,6,0
1669868549.960593,IP,172.16.42.1,1471,172.16.42.226,56940,6,208
1669868550.457943,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868550.465861,IP,172.16.42.226,56940,172.16.42.1,1471,6,1229
1669868550.466095,IP,172.16.42.1,1471,172.16.42.226,56940,6,0
1669868550.704618,IP,162.159.134.234,443,172.16.42.226,60486,6,243
1669868550.70842,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868550.757511,IP,172.16.42.1,1471,172.16.42.226,56940,6,629
1669868550.801478,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868551.668008,IP,162.159.134.234,443,172.16.42.226,60486,6,287
1669868552.096661,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868552.40314,IP,162.159.134.234,443,172.16.42.226,60486,6,462
1669868552.510924,IP,162.159.134.234,443,172.16.42.226,60486,6,235
1669868552.915262,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868552.917817,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868552.962042,IP,162.159.134.234,443,172.16.42.226,60486,6,153
1669868552.963571,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868553.235041,IP,172.16.42.226,56940,172.16.42.1,1471,6,1095
1669868553.235273,IP,172.16.42.1,1471,172.16.42.226,56940,6,0
1669868553.242011,IP,172.16.42.1,1471,172.16.42.226,56940,6,139
1669868553.242897,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868553.88062,IP,162.159.134.234,443,172.16.42.226,60486,6,276
1669868554.350926,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868554.430074,IP,172.16.42.226,56940,172.16.42.1,1471,6,1270
1669868554.430373,IP,172.16.42.1,1471,172.16.42.226,56940,6,0
1669868555.069415,IP,172.16.42.1,1471,172.16.42.226,56940,6,208
1669868555.173921,IP,172.16.42.226,50280,162.159.128.232,443,6,0
1669868555.175495,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868555.181632,IP,162.159.128.232,443,172.16.42.226,50280,6,0
1669868555.186758,IP,172.16.42.226,56940,172.16.42.1,1471,6,1229
1669868555.186994,IP,172.16.42.1,1471,172.16.42.226,56940,6,0
1669868555.496261,IP,172.16.42.1,1471,172.16.42.226,56940,6,665
1669868555.524145,IP,162.159.134.234,443,172.16.42.226,60486,6,229
1669868555.525225,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868555.540508,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868555.698087,IP,172.16.42.226,60646,44.240.84.205,443,6,113
1669868555.698088,IP,172.16.42.226,60646,44.240.84.205,443,6,459
1669868555.741566,IP,162.159.134.234,443,172.16.42.226,60486,6,337
